event_id,white_elo,black_elo,result,num_moves,white_castled,black_castled,white_castle_side,black_castle_side,num_captures,termination,moves_san,eco_code,opening_name,eco_family,total_half_moves,white_acl,black_acl,white_blunders,black_blunders,white_mistakes,black_mistakes,final_eval,max_white_advantage,max_black_advantage,game_sharpness,elo_gap,avg_elo,elo_bucket_white,elo_bucket_black,acl_gap,winner_binary,winner_multiclass
1,2354,2411,1/2-1/2,19,True,True,kingside,kingside,9,draw,Nf3 Nf6 c4 c5 b3 g6 Bb2 Bg7 e3 O-O Be2 b6 O-O Bb7 Nc3 Nc6 Qc2 Rc8 Rac1 d5 Nxd5 Nxd5 Bxg7 Nf4 exf4 Kxg7 Qc3+ Kg8 Rcd1 Qd6 d4 cxd4 Nxd4 Qxf4 Bf3 Qf6 Nb5 Qxc3,A05,Zukertort Opening,A,38,13.67,15.11,0,0,0,0,54,73,-26,26.43,-57,2382.0,Expert,Expert,-1.44,,1
2,2523,2460,1/2-1/2,6,True,False,kingside,none,2,draw,e4 e5 Nf3 Nf6 d4 Nxe4 Nxe5 d6 Nf3 d5 Bd3 Nd6 O-O,C43,Petrov's Defense: Modern Attack,C,13,12.0,12.33,0,0,0,0,55,55,14,11.54,63,2492.0,Master,Expert,-0.33,,1
3,1915,1999,0-1,53,True,True,kingside,kingside,23,resignation,e4 d5 exd5 Nf6 d4 Nxd5 Nf3 g6 Be2 Bg7 c4 Nb6 Nc3 O-O O-O Nc6 Be3 Bg4 d5 Bxf3 Bxf3 Ne5 Bxb6 Nxf3+ Qxf3 axb6 a3 Qd7 Rad1 Qf5 Qxf5 gxf5 Rd3 Rfd8 Rfd1 Kf8 R1d2 Rd7 f4 Rad8 Kf2 e6 b3 Bxc3 Rxc3 c6 Ke3 exd5 cxd5 Rxd5 Rxd5 Rxd5 Kf3 Ke7 h3 h5 Kg3 Rd4 Kf3 h4 Ke3 Rd6 Kf3 Rg6 Kf2 Kd6 Rd3+ Kc5 Rd7 Rg3 b4+ Kb5 a4+ Kxa4 Rxb7 b5 Rc7 Rc3 Rxf7 Kxb4 Rxf5 c5 Re5 Ra3 f5 Ra7 Ke3 c4 f6 c3 Kd3 Rd7+ Kc2 Rd2+ Kc1 Rf2 Re4+ Kb3 Re1 Rxf6 Kd1 b4 Re4 c2+ Kd2 Rd6+,B01,Scandinavian Defense: Richter Variation,B,106,312.33,203.29,7,2,0,0,-11544,93,-11544,2286.13,-84,1957.0,Advanced,Advanced,109.04,0.0,0
4,2446,2191,1-0,38,False,True,none,kingside,17,resignation,c4 Nf6 Nc3 d6 d4 e5 Nf3 Nbd7 Bg5 Be7 e3 c6 Qc2 O-O Bd3 h6 h4 b5 dxe5 dxe5 Bf5 b4 Ne2 Qa5 b3 Re8 Ng3 Kf8 Rd1 Qc7 Bxd7 Bxd7 Bxf6 Bxf6 Qh7 Bg4 Nf5 Bxf5 Qxf5 Rad8 Nd2 Qd7 Qxd7 Rxd7 Ne4 Rxd1+ Kxd1 h5 f3 Be7 g4 hxg4 fxg4 f6 h5 Kf7 Ke2 g6 hxg6+ Kxg6 Ng3 Kg5 Kf3 Kg6 Nf5 Bf8 Ke4 Bc5 Rh6+ Kg5 Rh7 Kxg4 Rg7+ Kh3 Rg3+ Kh2 Rg6,A16,"English Opening: Anglo-Indian Defense, Queen's Knight Variation",A,77,16.0,20.33,0,0,1,1,196,198,-30,51.53,255,2318.0,Expert,Expert,-4.33,1.0,2
5,2168,2075,1-0,24,True,False,kingside,none,13,resignation,e4 c5 Nf3 d6 b4 Nf6 bxc5 Nxe4 cxd6 Qb6 d4 Bg4 Bd3 Nxd6 O-O Nc6 Be3 Nb4 Be2 Qc7 c4 Nc6 d5 Bxf3 gxf3 Ne5 c5 Nf5 Qa4+ Kd8 Bf4 g5 d6 Qc6 Qa5+ b6 cxb6 axb6 Qxe5 Bg7 dxe7+ Nxe7 Qxg7 Rg8 Qd4+ Ke8 Be3 Rd8 Qxb6,B50,"Sicilian Defense: Wing Gambit, Deferred Variation",B,49,17.5,75.0,0,2,0,5,875,917,10,313.26,93,2122.0,Expert,Expert,-57.5,1.0,2
6,2437,2254,1/2-1/2,29,True,True,kingside,kingside,16,draw,Nf3 d5 d4 Nf6 c4 e6 Nc3 Be7 Bg5 h6 Bh4 O-O e3 Ne4 Bxe7 Qxe7 Qc2 Nxc3 Qxc3 dxc4 Bxc4 b6 O-O Bb7 Be2 c5 dxc5 Rc8 b4 bxc5 bxc5 Nd7 Rac1 Nxc5 Qa3 Kf8 Ne5 Qg5 Bf3 Bxf3 Nxf3 Qe7 Ne5 Ne4 Qb2 Nd6 h3 Kg8 Rfd1 Qf8 Rxc8 Rxc8 Qb4 Nc4 Qc3 Nxe5 Qxe5 Qa3,A06,Zukertort Opening,A,58,18.58,13.5,0,0,2,0,-11,94,-15,24.85,183,2346.0,Expert,Expert,5.08,,1
7,2449,2201,1-0,37,True,True,kingside,kingside,19,resignation,Nf3 Nf6 g3 g6 Bg2 Bg7 c4 d5 cxd5 Nxd5 Nc3 Nb6 d3 O-O h4 h5 Bg5 Nc6 O-O Bg4 Qd2 Kh7 Rac1 Qd7 Ne4 Qe8 Nc5 Bc8 d4 a5 Bf4 Nxd4 Bxc7 Nxf3+ Bxf3 Qb5 b3 a4 Nxb7 axb3 axb3 Bxb7 Bxb7 Ra3 Qe3 Nd5 Bxd5 Qxd5 Qxe7 Rxb3 Bf4 Rb2 Rc7 Qb5 e3 Rb1 Rxb1 Qxb1+ Kg2 Qf5 e4 Qb5 Be3 Kg8 Qc5 Qb1 Qc4 Qb2 Bc5 Ra8 Qxf7+ Kh8 Qxg6 Qe5 Re7,A05,King's Indian Attack: Symmetrical Defense,A,75,13.19,263.56,0,4,0,1,898,6395,-4,744.03,248,2325.0,Expert,Expert,-250.37,1.0,2
8,1813,1643,1/2-1/2,63,True,True,queenside,kingside,30,draw,e4 c5 Nf3 d6 d4 cxd4 Qxd4 Nc6 Bb5 Bd7 Bxc6 Bxc6 Nc3 Nf6 Bg5 e5 Qd2 Be7 Bxf6 Bxf6 Nd5 Be7 O-O-O Bxd5 Qxd5 Qc7 Rd3 O-O Rc3 Qb6 Rf1 Rac8 Rb3 Qa6 Rd3 Rc5 Qb3 Rfc8 Ne1 d5 f3 Rb5 Qxb5 Qxb5 exd5 Bg5+ Kb1 Rd8 b3 Rxd5 c4 Rxd3 cxb5 Rd1+ Kc2 Rd2+ Kb1 Kf8 a4 Ke7 h3 Rd1+ Kc2 Rc1+ Kd3 Bh4 Ke2 Rxe1+ Rxe1 Bxe1 Kxe1 Kd6 Kd2 Kd5 Kd3 h5 g4 hxg4 hxg4 g6 g5 e4+ fxe4+ Ke5 Ke3 f6 gxf6 Kxf6 Kf4 b6 b4 g5+ Ke3 Ke5 a5 g4 axb6 axb6 Kd3 g3 Ke3 g2 Kf2 Kxe4 Kxg2 Kd3 Kf2 Kc3 Ke2 Kxb4 Kd2 Kxb5 Kc1 Kb4 Kb2 Kc4 Kc2 b5 Kb2 b4 Kc2 b3+ Kb2 Kb4 Kb1 b2 Kxb2,B53,Sicilian Defense: Chekhover Variation,B,127,178.55,792.52,5,4,2,4,0,64,-10293,2132.51,170,1728.0,Advanced,Advanced,-613.97,,1
9,2553,2052,1-0,45,False,False,none,none,17,resignation,e4 e6 d4 d5 Nc3 Nf6 Bg5 Bb4 exd5 exd5 Qf3 Qe7+ Ne2 Qe4 Bxf6 Qxf3 gxf3 gxf6 a3 Bxc3+ Nxc3 Be6 Rg1 Nc6 Bb5 Kd7 Kd2 Rhg8 Ne2 Rg5 h4 Rh5 Rh1 Kd6 Bxc6 Kxc6 Rag1 Re8 Rg7 Kd6 Ng3 Rh6 h5 Ke7 Ne2 Kf8 Rg3 f5 Nf4 f6 Re1 Bf7 Rxe8+ Kxe8 b3 Kf8 Kd3 b5 Rg1 Ke7 a4 a6 axb5 axb5 Kc3 Kd6 Kb4 c6 Re1 Bg8 c3 Bf7 Rh1 Be8 Ka5 Bf7 Kb6 Be8 b4 Bf7 Kb7 Kd7 Rg1 Be8 Rg3 Kd6 Kc8 Rxh5 Nxh5 Bxh5 Rh3,C12,"French Defense: McCutcheon Variation, Exchange Variation",C,91,12.35,36.65,0,2,0,3,410,445,-3,93.12,501,2302.0,Master,Expert,-24.3,1.0,2
10,2611,2520,1-0,29,True,True,kingside,queenside,15,resignation,e4 e6 d4 d5 Nd2 c5 Ngf3 a6 dxc5 Bxc5 Bd3 Nf6 O-O Nc6 exd5 Nxd5 Ne4 Be7 c4 Nf6 Qe2 Qc7 b3 b6 Bb2 Bb7 Rad1 O-O-O c5 bxc5 Bxa6 Bxa6 Qxa6+ Qb7 Qe2 Nd4 Bxd4 Nxe4 Bxg7 Rhg8 Rxd8+ Bxd8 Be5 Ba5 Bg3 Rd8 Ne5 Nc3 Qe3 Qb5 Nc4 Nd5 Qf3 f5 Nd6+ Rxd6 Bxd6 Nc3 Be5,C07,"French Defense: Tarrasch Variation, Open System, Euwe-Keres Line",C,59,23.4,33.44,0,1,0,1,351,420,-5,119.46,91,2566.0,Master,Master,-10.04,1.0,2
