event_id,moves_uci
1,g1f3 g8f6 c2c4 c7c5 b2b3 g7g6 c1b2 f8g7 e2e3 e8g8 f1e2 b7b6 e1g1 c8b7 b1c3 b8c6 d1c2 a8c8 a1c1 d7d5 c3d5 f6d5 b2g7 d5f4 e3f4 g8g7 c2c3 g7g8 c1d1 d8d6 d2d4 c5d4 f3d4 d6f4 e2f3 f4f6 d4b5 f6c3
2,e2e4 e7e5 g1f3 g8f6 d2d4 f6e4 f3e5 d7d6 e5f3 d6d5 f1d3 e4d6 e1g1
3,e2e4 d7d5 e4d5 g8f6 d2d4 f6d5 g1f3 g7g6 f1e2 f8g7 c2c4 d5b6 b1c3 e8g8 e1g1 b8c6 c1e3 c8g4 d4d5 g4f3 e2f3 c6e5 e3b6 e5f3 d1f3 a7b6 a2a3 d8d7 a1d1 d7f5 f3f5 g6f5 d1d3 f8d8 f1d1 g8f8 d1d2 d8d7 f2f4 a8d8 g1f2 e7e6 b2b3 g7c3 d3c3 c7c6 f2e3 e6d5 c4d5 d7d5 d2d5 d8d5 e3f3 f8e7 h2h3 h7h5 f3g3 d5d4 g3f3 h5h4 f3e3 d4d6 e3f3 d6g6 f3f2 e7d6 c3d3 d6c5 d3d7 g6g3 b3b4 c5b5 a3a4 b5a4 d7b7 b6b5 b7c7 g3c3 c7f7 a4b4 f7f5 c6c5 f5e5 c3a3 f4f5 a3a7 f2e3 c5c4 f5f6 c4c3 e3d3 a7d7 d3c2 d7d2 c2c1 d2f2 e5e4 b4b3 e4e1 f2f6 c1d1 b5b4 e1e4 c3c2 d1d2 f6d6
4,c2c4 g8f6 b1c3 d7d6 d2d4 e7e5 g1f3 b8d7 c1g5 f8e7 e2e3 c7c6 d1c2 e8g8 f1d3 h7h6 h2h4 b7b5 d4e5 d6e5 d3f5 b5b4 c3e2 d8a5 b2b3 f8e8 e2g3 g8f8 a1d1 a5c7 f5d7 c8d7 g5f6 e7f6 c2h7 d7g4 g3f5 g4f5 h7f5 a8d8 f3d2 c7d7 f5d7 d8d7 d2e4 d7d1 e1d1 h6h5 f2f3 f6e7 g2g4 h5g4 f3g4 f7f6 h4h5 f8f7 d1e2 g7g6 h5g6 f7g6 e4g3 g6g5 e2f3 g5g6 g3f5 e7f8 f3e4 f8c5 h1h6 g6g5 h6h7 g5g4 h7g7 g4h3 g7g3 h3h2 g3g6
5,e2e4 c7c5 g1f3 d7d6 b2b4 g8f6 b4c5 f6e4 c5d6 d8b6 d2d4 c8g4 f1d3 e4d6 e1g1 b8c6 c1e3 c6b4 d3e2 b6c7 c2c4 b4c6 d4d5 g4f3 g2f3 c6e5 c4c5 d6f5 d1a4 e8d8 e3f4 g7g5 d5d6 c7c6 a4a5 b7b6 c5b6 a7b6 a5e5 f8g7 d6e7 f5e7 e5g7 h8g8 g7d4 d8e8 f4e3 a8d8 d4b6
6,g1f3 d7d5 d2d4 g8f6 c2c4 e7e6 b1c3 f8e7 c1g5 h7h6 g5h4 e8g8 e2e3 f6e4 h4e7 d8e7 d1c2 e4c3 c2c3 d5c4 f1c4 b7b6 e1g1 c8b7 c4e2 c7c5 d4c5 f8c8 b2b4 b6c5 b4c5 b8d7 a1c1 d7c5 c3a3 g8f8 f3e5 e7g5 e2f3 b7f3 e5f3 g5e7 f3e5 c5e4 a3b2 e4d6 h2h3 f8g8 f1d1 e7f8 c1c8 a8c8 b2b4 d6c4 b4c3 c4e5 c3e5 f8a3
7,g1f3 g8f6 g2g3 g7g6 f1g2 f8g7 c2c4 d7d5 c4d5 f6d5 b1c3 d5b6 d2d3 e8g8 h2h4 h7h5 c1g5 b8c6 e1g1 c8g4 d1d2 g8h7 a1c1 d8d7 c3e4 d7e8 e4c5 g4c8 d3d4 a7a5 g5f4 c6d4 f4c7 d4f3 g2f3 e8b5 b2b3 a5a4 c5b7 a4b3 a2b3 c8b7 f3b7 a8a3 d2e3 b6d5 b7d5 b5d5 e3e7 a3b3 c7f4 b3b2 c1c7 d5b5 e2e3 b2b1 f1b1 b5b1 g1g2 b1f5 e3e4 f5b5 f4e3 h7g8 e7c5 b5b1 c5c4 b1b2 e3c5 f8a8 c4f7 g8h8 f7g6 b2e5 c7e7
8,e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 d1d4 b8c6 f1b5 c8d7 b5c6 d7c6 b1c3 g8f6 c1g5 e7e5 d4d2 f8e7 g5f6 e7f6 c3d5 f6e7 e1c1 c6d5 d2d5 d8c7 d1d3 e8g8 d3c3 c7b6 h1f1 a8c8 c3b3 b6a6 b3d3 c8c5 d5b3 f8c8 f3e1 d6d5 f2f3 c5b5 b3b5 a6b5 e4d5 e7g5 c1b1 c8d8 b2b3 d8d5 c2c4 d5d3 c4b5 d3d1 b1c2 d1d2 c2b1 g8f8 a2a4 f8e7 h2h3 d2d1 b1c2 d1c1 c2d3 g5h4 d3e2 c1e1 f1e1 h4e1 e2e1 e7d6 e1d2 d6d5 d2d3 h7h5 g2g4 h5g4 h3g4 g7g6 g4g5 e5e4 f3e4 d5e5 d3e3 f7f6 g5f6 e5f6 e3f4 b7b6 b3b4 g6g5 f4e3 f6e5 a4a5 g5g4 a5b6 a7b6 e3d3 g4g3 d3e3 g3g2 e3f2 e5e4 f2g2 e4d3 g2f2 d3c3 f2e2 c3b4 e2d2 b4b5 d2c1 b5b4 c1b2 b4c4 b2c2 b6b5 c2b2 b5b4 b2c2 b4b3 c2b2 c4b4 b2b1 b3b2 b1b2
9,e2e4 e7e6 d2d4 d7d5 b1c3 g8f6 c1g5 f8b4 e4d5 e6d5 d1f3 d8e7 g1e2 e7e4 g5f6 e4f3 g2f3 g7f6 a2a3 b4c3 e2c3 c8e6 h1g1 b8c6 f1b5 e8d7 e1d2 h8g8 c3e2 g8g5 h2h4 g5h5 g1h1 d7d6 b5c6 d6c6 a1g1 a8e8 g1g7 c6d6 e2g3 h5h6 h4h5 d6e7 g3e2 e7f8 g7g3 f6f5 e2f4 f7f6 h1e1 e6f7 e1e8 f8e8 b2b3 e8f8 d2d3 b7b5 g3g1 f8e7 a3a4 a7a6 a4b5 a6b5 d3c3 e7d6 c3b4 c7c6 g1e1 f7g8 c2c3 g8f7 e1h1 f7e8 b4a5 e8f7 a5b6 f7e8 b3b4 e8f7 b6b7 d6d7 h1g1 f7e8 g1g3 d7d6 b7c8 h6h5 f4h5 e8h5 g3h3
10,e2e4 e7e6 d2d4 d7d5 b1d2 c7c5 g1f3 a7a6 d4c5 f8c5 f1d3 g8f6 e1g1 b8c6 e4d5 f6d5 d2e4 c5e7 c2c4 d5f6 d1e2 d8c7 b2b3 b7b6 c1b2 c8b7 a1d1 e8c8 c4c5 b6c5 d3a6 b7a6 e2a6 c7b7 a6e2 c6d4 b2d4 f6e4 d4g7 h8g8 d1d8 e7d8 g7e5 d8a5 e5g3 g8d8 f3e5 e4c3 e2e3 b7b5 e5c4 c3d5 e3f3 f7f5 c4d6 d8d6 g3d6 d5c3 d6e5
