event_id,white_elo,black_elo,result,num_moves,white_castled,black_castled,white_castle_side,black_castle_side,num_captures,termination,eco_code,opening_name,eco_family,total_half_moves,white_acl,black_acl,white_blunders,black_blunders,white_mistakes,black_mistakes,final_eval,max_white_advantage,max_black_advantage,game_sharpness,elo_gap,avg_elo,elo_bucket_white,elo_bucket_black,acl_gap,winner_binary,winner_multiclass,source,has_stockfish
1,2354,2411,1/2-1/2,19,1.0,1.0,kingside,kingside,9.0,draw,A05,Zukertort Opening,A,38,13.67,15.11,0.0,0.0,0.0,0.0,54.0,73.0,-26.0,26.43,-57,2382.0,Expert,Expert,-1.44,,1,kaggle_pgn,True
2,2523,2460,1/2-1/2,6,1.0,0.0,kingside,none,2.0,draw,C43,Petrov's Defense: Modern Attack,C,13,12.0,12.33,0.0,0.0,0.0,0.0,55.0,55.0,14.0,11.54,63,2492.0,Master,Expert,-0.33,,1,kaggle_pgn,True
3,1915,1999,0-1,53,1.0,1.0,kingside,kingside,23.0,resignation,B01,Scandinavian Defense: Richter Variation,B,106,312.33,203.29,7.0,2.0,0.0,0.0,-11544.0,93.0,-11544.0,2286.13,-84,1957.0,Advanced,Advanced,109.04,0.0,0,kaggle_pgn,True
4,2446,2191,1-0,38,0.0,1.0,none,kingside,17.0,resignation,A16,"English Opening: Anglo-Indian Defense, Queen's Knight Variation",A,77,16.0,20.33,0.0,0.0,1.0,1.0,196.0,198.0,-30.0,51.53,255,2318.0,Expert,Expert,-4.33,1.0,2,kaggle_pgn,True
5,2168,2075,1-0,24,1.0,0.0,kingside,none,13.0,resignation,B50,"Sicilian Defense: Wing Gambit, Deferred Variation",B,49,17.5,75.0,0.0,2.0,0.0,5.0,875.0,917.0,10.0,313.26,93,2122.0,Expert,Expert,-57.5,1.0,2,kaggle_pgn,True
6,2437,2254,1/2-1/2,29,1.0,1.0,kingside,kingside,16.0,draw,A06,Zukertort Opening,A,58,18.58,13.5,0.0,0.0,2.0,0.0,-11.0,94.0,-15.0,24.85,183,2346.0,Expert,Expert,5.08,,1,kaggle_pgn,True
7,2449,2201,1-0,37,1.0,1.0,kingside,kingside,19.0,resignation,A05,King's Indian Attack: Symmetrical Defense,A,75,13.19,263.56,0.0,4.0,0.0,1.0,898.0,6395.0,-4.0,744.03,248,2325.0,Expert,Expert,-250.37,1.0,2,kaggle_pgn,True
8,1813,1643,1/2-1/2,63,1.0,1.0,queenside,kingside,30.0,draw,B53,Sicilian Defense: Chekhover Variation,B,127,178.55,792.52,5.0,4.0,2.0,4.0,0.0,64.0,-10293.0,2132.51,170,1728.0,Advanced,Advanced,-613.97,,1,kaggle_pgn,True
9,2553,2052,1-0,45,0.0,0.0,none,none,17.0,resignation,C12,"French Defense: McCutcheon Variation, Exchange Variation",C,91,12.35,36.65,0.0,2.0,0.0,3.0,410.0,445.0,-3.0,93.12,501,2302.0,Master,Expert,-24.3,1.0,2,kaggle_pgn,True
10,2611,2520,1-0,29,1.0,1.0,kingside,queenside,15.0,resignation,C07,"French Defense: Tarrasch Variation, Open System, Euwe-Keres Line",C,59,23.4,33.44,0.0,1.0,0.0,1.0,351.0,420.0,-5.0,119.46,91,2566.0,Master,Master,-10.04,1.0,2,kaggle_pgn,True
